image,category,true_label,vlm_output,vlm_is_fire,vlm_pred,vlm_time,yolo_det_count,yolo_det_type,yolo_pred,yolo_time,collab_alert,collab_pred,collab_time
attention1.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左下、中下板块。",True,unsafe,7.85,1,fire_only,unsafe,1.60,ALARM,unsafe,7.86
attention10.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下、右下板块。",True,unsafe,5.84,1,fire_only,unsafe,0.01,ALARM,unsafe,5.86
attention11.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张蜡烛和书的照片。蜡烛正在燃烧，但没有明显的火势或烟雾。",False,safe,6.74,0,nothing,safe,0.01,SAFE,safe,6.75
attention12.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示吸烟和打火机的图片。烟雾和火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",False,safe,10.96,2,fire+smoke,unsafe,0.01,CAUTION,unsafe,10.97
attention13.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示一个人正在点燃香烟的照片。照片中没有明显的火源或燃烧现象。",False,safe,6.27,2,fire+smoke,unsafe,0.01,CAUTION,unsafe,6.28
attention14.jpg,attention,unsafe,"这是一张不涉及火灾的图片。

不是火灾图像。无需分析版块。 

请注意，我不能对涉及非法或有害内容的图片进行描述。如果您有其他问题或需要帮助，请随时告诉我。",False,safe,10.64,1,smoke_only,unsafe,0.02,CAUTION,unsafe,10.65
attention15.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.19,0,nothing,safe,0.01,ALARM,unsafe,6.20
attention16.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.28,2,fire_only,unsafe,0.01,ALARM,unsafe,8.29
attention17.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示面包和蜡烛的照片。没有看到任何与火灾相关的迹象。",False,safe,5.48,0,nothing,safe,0.01,SAFE,safe,5.49
attention18.jpg,attention,unsafe,"这不是一张火灾图像。

该图片中没有显示任何与火灾相关的迹象或元素。它只展示了一位正在吸烟的人。",False,safe,6.44,0,nothing,safe,0.01,SAFE,safe,6.45
attention19.jpg,attention,unsafe,"这是一张不涉及火灾的图片。

手部正在点燃一根香烟。没有显示任何与火灾相关的迹象或场景。",False,safe,6.40,0,nothing,safe,0.01,SAFE,safe,6.40
attention2.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.14,0,nothing,safe,0.01,ALARM,unsafe,8.15
attention20.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.18,1,smoke_only,unsafe,0.01,ALARM,unsafe,8.19
attention3.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上板块。",True,unsafe,6.41,0,nothing,safe,0.02,ALARM,unsafe,6.42
attention4.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张一个人正在使用打火机的图片。图片中没有显示任何与火灾相关的元素。",False,safe,6.45,0,nothing,safe,0.01,SAFE,safe,6.46
attention5.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张一个人正在点燃一根火柴的照片。照片中没有显示任何与火灾相关的元素。",False,safe,6.20,1,smoke_only,unsafe,0.02,CAUTION,unsafe,6.21
attention6.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张蜡烛燃烧的照片。火焰主要占据了图片九宫格的左上、中上、右上板块。",False,safe,7.34,0,nothing,safe,0.01,SAFE,safe,7.35
attention7.jpg,attention,unsafe,"这不是一张火灾图像。

这是一张展示蜡烛和书本的照片。蜡烛是被点燃的，但并没有出现任何火势或烟雾等火灾特征。",False,safe,8.67,1,fire_only,unsafe,0.01,CAUTION,unsafe,8.68
attention8.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上板块。",True,unsafe,6.49,0,nothing,safe,0.02,ATTENTION,unsafe,6.50
attention9.jpg,attention,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.18,1,smoke_only,unsafe,0.02,ALARM,unsafe,8.19
fire1.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下板块。",True,unsafe,6.18,2,fire+smoke,unsafe,0.02,ALARM,unsafe,6.19
fire10.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中、左下、中下、右下板块。",True,unsafe,10.32,1,fire_only,unsafe,0.02,ALARM,unsafe,10.33
fire11.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下、右下板块。",True,unsafe,7.06,1,fire_only,unsafe,0.02,ALARM,unsafe,7.07
fire12.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中、右中、左中、中下、右下板块。",True,unsafe,9.08,1,fire_only,unsafe,0.02,ALARM,unsafe,9.10
fire13.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.52,2,fire+smoke,unsafe,0.03,ALARM,unsafe,8.54
fire14.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.52,1,fire_only,unsafe,0.01,ALARM,unsafe,8.54
fire15.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.46,2,fire_only,unsafe,0.02,ALARM,unsafe,8.47
fire16.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下、右下板块。",True,unsafe,7.18,0,nothing,safe,0.02,ALARM,unsafe,7.20
fire17.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.43,1,fire_only,unsafe,0.02,ALARM,unsafe,8.44
fire18.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.52,2,fire+smoke,unsafe,0.01,ALARM,unsafe,8.54
fire19.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.46,3,fire+smoke,unsafe,0.02,ALARM,unsafe,8.48
fire2.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.49,1,fire_only,unsafe,0.03,ALARM,unsafe,8.50
fire20.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.38,1,fire_only,unsafe,0.02,ALARM,unsafe,8.39
fire3.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.36,2,fire+smoke,unsafe,0.02,ALARM,unsafe,8.37
fire4.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.29,1,fire_only,unsafe,0.01,ALARM,unsafe,6.30
fire5.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.29,1,fire_only,unsafe,0.02,ALARM,unsafe,8.30
fire6.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下板块。",True,unsafe,6.23,1,fire_only,unsafe,0.02,ALARM,unsafe,6.24
fire7.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.46,1,smoke_only,unsafe,0.02,ALARM,unsafe,8.47
fire8.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.27,1,fire_only,unsafe,0.01,ALARM,unsafe,8.28
fire9.jpg,fire,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.25,1,fire_only,unsafe,0.02,ALARM,unsafe,8.26
nofire1.jpg,nofire,safe,"这不是一张火灾图像。

这是一张显示火车在铁轨上行驶的照片，并没有火焰或其他与火灾相关的元素。",False,safe,6.02,0,nothing,safe,0.01,SAFE,safe,6.03
nofire10.jpg,nofire,safe,"这不是一张火灾图像。

这张图片展示的是一个马术比赛中的场景，没有显示任何与火灾相关的内容。",False,safe,5.72,0,nothing,safe,0.01,SAFE,safe,5.73
nofire2.jpg,nofire,safe,"这不是一张火灾图像。

描述中没有提到任何与火灾相关的元素。描述中提到了一座建筑物、玻璃窗和一些树木，但没有任何关于火焰或火势的信息。因此，可以确定这是一张非火灾图像。",False,safe,11.28,0,nothing,safe,0.02,SAFE,safe,11.30
nofire3.jpg,nofire,safe,"不是。

该图片为建筑物外观照片，不属于火灾图像。所以无需分析板块。   ",True,unsafe,4.99,0,nothing,safe,0.01,ATTENTION,unsafe,5.00
nofire4.jpg,nofire,safe,"这不是一张火灾图像。

描述中提到的是一个房间内的场景，有家具、衣物和纸箱等物品，没有显示任何与火灾相关的迹象或痕迹。",False,safe,8.22,0,nothing,safe,0.02,SAFE,safe,8.24
nofire5.jpg,nofire,safe,"这不是一张火灾图像。

这是一张展示一只猫穿着红色围巾的照片。照片中没有显示任何与火灾相关的元素。",False,safe,6.73,0,nothing,safe,0.02,SAFE,safe,6.74
nofire6.jpg,nofire,safe,"这不是一张火灾图像。

描述中没有提到任何与火灾相关的元素或迹象。因此，可以确定这是一张非火灾图像。",False,safe,6.77,0,nothing,safe,0.01,SAFE,safe,6.78
nofire7.jpg,nofire,safe,"这不是一张火灾图像。

这是一张展示红色敞篷车的照片，没有显示任何与火灾相关的迹象。",False,safe,5.65,0,nothing,safe,0.02,SAFE,safe,5.66
nofire8.jpg,nofire,safe,"这不是一张火灾图像。

描述中提到的是一个室内场景，有椅子、桌子和一些物品，但没有出现任何与火灾相关的迹象或元素。",False,safe,7.78,0,nothing,safe,0.02,SAFE,safe,7.79
nofire9.jpg,nofire,safe,"这不是一张火灾图像。

这是一张展示骑士骑马和持枪的图片。图片中没有显示任何与火灾相关的元素。",False,safe,6.79,0,nothing,safe,0.02,SAFE,safe,6.80
small1.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下板块。",True,unsafe,5.26,2,fire+smoke,unsafe,0.02,ALARM,unsafe,5.28
small10.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中板块。",True,unsafe,6.33,1,fire_only,unsafe,0.02,ALARM,unsafe,6.35
small11.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下板块。",True,unsafe,6.44,2,fire_only,unsafe,0.02,ALARM,unsafe,6.46
small12.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.46,3,fire+smoke,unsafe,0.06,ALARM,unsafe,6.51
small13.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.47,2,fire+smoke,unsafe,0.06,ALARM,unsafe,6.52
small14.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.88,2,fire+smoke,unsafe,0.09,ALARM,unsafe,8.97
small15.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.95,2,fire+smoke,unsafe,0.09,ALARM,unsafe,9.03
small16.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中、左下、中下、右下板块。",True,unsafe,11.11,2,fire+smoke,unsafe,0.10,ALARM,unsafe,11.20
small17.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上板块。",True,unsafe,6.04,1,smoke_only,unsafe,0.10,ALARM,unsafe,6.13
small18.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中板块。",True,unsafe,5.80,3,fire+smoke,unsafe,0.09,ALARM,unsafe,5.89
small19.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.38,3,fire+smoke,unsafe,0.08,ALARM,unsafe,6.47
small2.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中板块。",True,unsafe,5.72,2,fire+smoke,unsafe,0.02,ALARM,unsafe,5.73
small20.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.46,3,fire+smoke,unsafe,0.10,ALARM,unsafe,8.54
small21.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下、右下板块。",True,unsafe,6.00,2,fire+smoke,unsafe,0.09,ALARM,unsafe,6.08
small22.png,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中、右中板块。",True,unsafe,7.10,2,fire+smoke,unsafe,0.08,ALARM,unsafe,7.18
small23.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上板块。",True,unsafe,5.92,2,fire+smoke,unsafe,0.04,ALARM,unsafe,5.95
small24.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中下板块。",True,unsafe,6.65,2,fire+smoke,unsafe,0.10,ALARM,unsafe,6.71
small25.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中、右中板块。",True,unsafe,7.07,2,fire+smoke,unsafe,0.02,ALARM,unsafe,7.08
small26.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下、右下板块。",True,unsafe,7.11,2,fire+smoke,unsafe,0.03,ALARM,unsafe,7.13
small27.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下板块。",True,unsafe,5.48,3,fire+smoke,unsafe,0.14,ALARM,unsafe,5.62
small28.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中板块。",True,unsafe,6.58,2,fire+smoke,unsafe,0.09,ALARM,unsafe,6.66
small29.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.52,2,fire+smoke,unsafe,0.03,ALARM,unsafe,8.54
small3.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.33,2,fire+smoke,unsafe,0.02,ALARM,unsafe,6.35
small30.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中板块。",True,unsafe,5.92,2,fire+smoke,unsafe,0.02,ALARM,unsafe,5.93
small4.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.59,4,fire+smoke,unsafe,0.02,ALARM,unsafe,8.61
small5.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.48,3,fire+smoke,unsafe,0.03,ALARM,unsafe,6.50
small6.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下板块。",True,unsafe,5.14,0,nothing,safe,0.01,ATTENTION,unsafe,5.15
small7.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下板块。",True,unsafe,5.14,2,fire+smoke,unsafe,0.01,ALARM,unsafe,5.15
small8.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.37,2,fire+smoke,unsafe,0.02,ALARM,unsafe,6.38
small9.jpg,small,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.28,1,smoke_only,unsafe,0.01,ALARM,unsafe,8.29
smoke1.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中、右中、中下、右下板块。",True,unsafe,7.03,2,fire+smoke,unsafe,0.02,ALARM,unsafe,7.05
smoke10.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上板块。",True,unsafe,5.77,2,fire+smoke,unsafe,0.01,ALARM,unsafe,5.78
smoke11.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.40,4,fire+smoke,unsafe,0.11,ALARM,unsafe,6.48
smoke12.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中下、右下板块。",True,unsafe,5.92,2,fire+smoke,unsafe,0.09,ALARM,unsafe,6.00
smoke13.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.44,2,fire+smoke,unsafe,0.10,ALARM,unsafe,8.52
smoke14.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.48,2,fire+smoke,unsafe,0.08,ALARM,unsafe,8.56
smoke15.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.28,1,smoke_only,unsafe,0.01,ALARM,unsafe,6.30
smoke16.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.41,2,fire+smoke,unsafe,0.10,ALARM,unsafe,6.49
smoke17.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中、左下、中下、右下板块。",True,unsafe,8.43,2,fire+smoke,unsafe,0.08,ALARM,unsafe,8.51
smoke18.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.57,2,fire+smoke,unsafe,0.08,ALARM,unsafe,8.65
smoke19.png,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.41,3,fire+smoke,unsafe,0.08,ALARM,unsafe,6.49
smoke2.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.45,3,fire+smoke,unsafe,0.02,ALARM,unsafe,6.46
smoke20.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中板块。",True,unsafe,5.86,2,fire+smoke,unsafe,0.11,ALARM,unsafe,5.98
smoke3.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.57,5,fire+smoke,unsafe,0.02,ALARM,unsafe,8.58
smoke4.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.32,4,fire+smoke,unsafe,0.02,ALARM,unsafe,6.33
smoke5.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上板块。",True,unsafe,6.68,2,fire+smoke,unsafe,0.02,ALARM,unsafe,6.70
smoke6.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上、中、右中板块。",True,unsafe,7.01,4,fire+smoke,unsafe,0.02,ALARM,unsafe,7.02
smoke7.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左中、中、右中板块。",True,unsafe,6.45,2,fire+smoke,unsafe,0.02,ALARM,unsafe,6.46
smoke8.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的中上、右上板块。",True,unsafe,5.94,0,nothing,safe,0.01,ALARM,unsafe,5.95
smoke9.jpg,smoke,unsafe,"是的，这是一张火灾图像。

火焰主要占据了图片九宫格的左上、中上、右上、左中、中、右中板块。",True,unsafe,8.50,1,smoke_only,unsafe,0.02,ALARM,unsafe,8.51
